id,COND,LAT,LON,ALT,AX,AY,AZ,GX,GY,GZ,Y,M,D,H,MIN,SEC,CH,VOL,CUR,SPD,ODO,BRK,ACC,AUT,ECO,AIR
4033900000,4,-21.78303146,46.59999847,0,196,1138,1575,24,34,7,0,0,0,0,0,0,59,22,61,31,25975.4,0,30,139,0,2
4114000000,4,21,0,0,-106,813,2156,-10,12,50,0,0,0,0,0,0,52.5,23,3,90,25998,0,8,135,0,0
6009100000,6,21.06666756,0,0,-82,951,1823,50,6,19,0,0,0,0,0,0,99,6,2,34,26125.2,0,0,272,0,0
7014600000,7,21.79954529,0,0,130,1053,1815,-2,-8,2,0,0,0,0,0,0,84.5,378,3,0,26200,16,0,199,0,2
7133000000,7,-21.92508316,0,0,432,1242,1640,-30,-62,-48,0,0,0,0,0,0,75.5,370,20,54,26227.2,0,16,170,0,2
8263000000,8,-21.77880287,0,0,-219,1108,2195,-40,-48,18,0,0,0,0,0,0,25,335,2,70,26346,0,6,56,0,0
3083400000,3,-21.88591385,0,0,283,801,1936,1,-70,96,0,0,0,0,0,0,65.5,8,-18,80,25918.7,0,0,147,0,2
7307100000,7,21,0,0,-129,1367,1849,56,252,360,0,0,0,0,0,0,47.5,343,42,26,26275.6,0,28,113,0,0
8061400000,8,21.06666756,0,0,331,965,1912,4,-61,-40,0,0,0,0,0,0,52,341,98,79,26287.6,0,32,114,0,2
3009300000,3,21,0,0,-30,965,1643,121,-22,120,0,0,0,0,0,0,74,17,-17,34,25896.7,10,0,174,0,2
3242500000,3,-21.78193665,0,0,708,750,1884,-10,-48,4,0,0,0,0,0,0,31.5,4,27,51,25969.4,0,16,68,0,2
7183800000,7,-21.96820068,0,0,20,758,1413,-62,30,44,0,0,0,0,0,0,68,353,95,119,26240.8,0,30,151,0,2
7231200000,7,21.08333397,0,0,119,1228,2112,5,-7,84,0,0,0,0,0,0,60.5,340,130,100,26253,0,36,132,0,2
2118400000,2,21.08333397,0,0,457,747,1567,-12,-30,-38,0,0,0,0,0,0,90,22,3,32,25851.7,0,10,240,0,0
2141700000,2,21,0,0,285,672,2114,13,4,-36,0,0,0,0,0,0,88.5,21,0,84,25856.1,0,2,235,0,0
3057700000,3,21,0,0,1306,778,1855,-40,-88,-7,0,0,0,0,0,0,66.5,15,118,120,25908.4,0,34,149,0,2
3079800000,3,-21.87670326,0,0,773,639,2242,-45,-50,-34,0,0,0,0,0,0,65.5,7,-11,74,25917.4,0,0,147,0,2
4208000000,4,21,0,0,23,1078,2250,10,-11,-25,0,0,0,0,0,0,42,5,70,92,26022,0,36,100,192,2
7012200000,7,0,0,0,161,1062,1875,-4,-6,1,0,0,0,0,0,0,84.5,378,4,0,26200,14,0,200,0,2
7219800000,7,-21.93063164,46.68333435,0,136,980,1843,-5,-6,-1,0,0,0,0,0,0,64,361,2,0,26248.7,16,0,140,0,2
9005200000,9,-21.79964638,0,0,23,860,1911,4,-34,-16,0,0,0,0,0,0,94,2,1,4,25656,0,0,251,0,0
6296900000,6,-21.78081322,46.59999847,0,-58,438,2137,-48,-44,34,0,0,0,0,0,0,69,9,-17,35,26197.1,6,0,176,0,0
2102800000,2,-21.93471527,46.70000076,0,337,779,1873,22,6,1,0,0,0,0,0,0,90,23,1,39,25850.1,0,4,239,0,0
7003200000,7,-21.79951859,46.58333206,0,337,1045,1719,-4,-4,4,0,0,0,0,0,0,84.5,379,3,0,26200,0,0,200,0,2
8230100000,8,-21.84681511,46.66666794,0,72,863,1989,-7,7,-9,0,0,0,0,0,0,29.5,330,30,52,26335.6,0,18,67,0,0
1269200000,1,-21.77936554,0,0,-161,551,1895,-20,17,19,0,0,0,0,0,0,66.5,6,-7,13,25817.3,18,0,150,0,2
2198500000,2,-21.89639282,0,0,358,1496,1966,-1,76,63,0,0,0,0,0,0,77.5,5,260,121,25873.1,0,88,201,0,0
4135600000,4,-21.93712044,46.70000076,0,158,1056,2004,-65,36,-17,0,0,0,0,0,0,52,21,16,19,26003.5,0,22,118,0,2
7119800000,7,-21.89285278,0,0,94,593,1618,2,-7,-18,0,0,0,0,0,0,77,375,-13,28,26223.3,0,0,174,0,2
1268600000,1,-21.77786255,0,0,269,957,1758,6,-70,27,0,0,0,0,0,0,66.5,4,9,61,25817.2,0,10,150,0,2
2222500000,2,-21.82318115,46.66666794,0,287,854,2014,5,-17,7,0,0,0,0,0,0,67.5,1,8,106,25883.1,0,10,172,0,0
2260700000,2,-21.79478645,46.58333206,0,620,993,1775,-99,28,-6,0,0,0,0,0,0,62.5,19,61,45,25895.5,0,26,159,0,0
1093400000,1,-21.88194084,0,0,-174,852,1805,-34,6,113,0,0,0,0,0,0,91,22,20,59,25766.6,0,16,216,0,2
4114600000,4,21,0,0,86,1145,1831,-34,17,7,0,0,0,0,0,0,52.5,19,50,88,25998.3,0,24,135,0,0
2081800000,2,-21.89905357,0,0,-97,1080,1074,18,98,85,0,0,0,0,0,0,91,16,69,78,25844.3,0,28,243,0,0
6133500000,6,2,0,0,140,733,1836,-17,-10,-42,0,0,0,0,0,0,90.5,1,-21,62,26153.6,0,0,241,0,0
8057800000,8,-21.79836082,0,0,-286,829,1731,-23,-27,51,0,0,0,0,0,0,52.5,351,22,50,26286.3,0,16,115,0,2
3252600000,3,-21.79080772,46.58333206,0,693,853,1772,-2,-3,2,0,0,0,0,0,0,30.5,6,4,0,25971,28,0,66,0,2
9026800000,9,-21.78499985,0,0,85,886,1894,-4,-5,-1,0,0,0,0,0,0,93.5,0,0,0,25658.7,4,0,249,0,0
7265800000,7,21.06666756,0,0,148,542,1363,15,-5,13,0,0,0,0,0,0,50.5,348,17,67,26266,0,16,109,0,2
2189500000,2,21.08333397,0,0,192,1083,1832,-34,16,7,0,0,0,0,0,0,81,0,107,89,25869.3,0,34,209,0,0
8060800000,8,21,0,0,-217,1083,2006,56,-36,1,0,0,0,0,0,0,52,350,22,71,26287.3,0,16,114,0,2
8105600000,8,-21.90839195,46.68333435,0,352,513,1229,-41,-112,-83,0,0,0,0,0,0,50,346,30,97,26301.4,0,8,122,0,0
1103600000,1,-21.90880585,46.68333435,0,-57,1141,2169,-64,-67,-53,0,0,0,0,0,0,91,24,-14,84,25769.8,0,0,214,0,2
6012700000,6,-21.79277229,0,0,14,794,1948,2,-72,-105,0,0,0,0,0,0,99,6,2,27,26125.6,6,0,272,0,0
1100600000,1,-21.8992672,46.68333435,0,177,561,1954,55,130,-1,0,0,0,0,0,0,91.5,1,-15,63,25768.7,0,0,216,0,2
1217800000,1,-21.88795662,0,0,120,788,1406,11,-14,-27,0,0,0,0,0,0,77.5,5,56,91,25798.4,0,24,176,0,2
7244900000,7,21,0,0,123,929,1788,-25,-12,6,0,0,0,0,0,0,55,347,19,94,26258.4,0,16,118,0,2
3241900000,3,-21.78090286,0,0,665,542,1881,-48,9,-52,0,0,0,0,0,0,31.5,8,-15,52,25969.3,0,0,69,0,2
4111000000,4,21.08333397,0,0,339,881,1790,-59,-19,-13,0,0,0,0,0,0,53,16,82,83,25996.8,0,30,136,0,0
8266000000,8,21.06666756,0,0,40,589,1546,-30,-23,-25,0,0,0,0,0,0,25,336,-1,77,26347,0,4,49,0,2
2192500000,2,21.08333397,0,0,407,563,1968,-25,1,-27,0,0,0,0,0,0,80,8,35,78,25870.5,0,20,208,0,0
7068400000,7,21,0,0,265,1233,1612,-14,-45,38,0,0,0,0,0,0,81,369,49,67,26207.6,0,22,189,0,2
2016000000,2,-21.78549194,46.58333206,0,219,580,2102,-13,-7,11,0,0,0,0,0,0,99,6,1,23,25822.8,10,0,273,0,0
3045100000,3,21.06666756,0,0,549,414,1006,10,89,37,0,0,0,0,0,0,70,4,30,88,25903.2,0,18,162,0,2
8099600000,8,21.08333397,0,0,42,717,1755,-31,-49,3,0,0,0,0,0,0,51,356,-19,48,26299.6,0,0,125,0,0
1200500000,1,-21.93113708,0,0,-191,953,2082,-11,0,-1,0,0,0,0,0,0,81.5,17,-13,27,25793.2,8,0,187,0,2
3258000000,3,-21.79418182,0,0,554,886,2262,50,133,-26,0,0,0,0,0,0,29.5,24,62,37,25971.4,0,28,64,0,2
4224700000,4,21.08333397,0,0,437,992,1749,-33,-67,-56,0,0,0,0,0,0,34.5,13,171,97,26029,0,48,92,192,0
4279600000,4,21,0,0,218,819,1870,32,-13,-32,0,0,0,0,0,0,27.5,8,-5,21,26046,0,0,65,192,2
7091100000,7,-21.84064102,46.66666794,0,333,694,1173,-13,20,-47,0,0,0,0,0,0,76.5,374,-33,82,26216.1,0,0,173,0,2
3205500000,3,-21.85146713,46.68333435,0,844,490,1435,-31,-27,-87,0,0,0,0,0,0,39.5,11,157,129,25955,0,42,86,0,2
